Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
868,Brandon Tanev\tanevbr01,30,SEA,LW,30,9,6,15,4,13,1.9,6,2,1,3,6,0,0,51,17.6,437,14:34,22,98,1,1,50.0
869,Chris Tanev\tanevch01,32,CGY,D,57,4,15,19,25,16,4.9,4,0,0,2,15,0,0,62,6.5,1175,20:37,99,36,0,0,
870,Vladimir Tarasenko\tarasvl01,30,STL,RW,52,19,30,49,0,26,5.0,15,4,0,5,18,11,1,165,11.5,886,17:02,31,58,4,5,44.4
871,Tomas Tatar\tatarto01,31,NJD,LW,55,10,13,23,-11,16,1.5,8,2,0,0,10,3,0,98,10.2,804,14:37,18,49,12,19,38.7
872,John Tavares\tavarjo01,31,TOR,C,57,19,35,54,-4,24,5.1,12,7,0,1,25,10,0,175,10.9,1031,18:06,33,55,591,375,61.2
873,Matt Tennyson\tennyma01,31,NSH,D,4,0,3,3,2,2,0.5,0,0,0,0,3,0,0,3,0.0,49,12:17,2,7,0,0,
874,Teuvo Teravainen\teravte01,27,CAR,F,52,16,30,46,13,18,5.0,6,8,2,1,13,17,0,150,10.7,949,18:15,24,13,19,16,54.3
875,Troy Terry\terrytr01,24,ANA,C,55,28,21,49,-9,20,5.9,20,8,0,7,15,6,0,124,22.6,963,17:30,14,4,1,7,12.5
876,Alexandre Texier\texieal01,22,CBJ,C,36,11,9,20,0,12,2.1,10,0,1,0,8,0,1,59,18.6,526,14:36,12,13,20,37,35.1
877,Shea Theodore\theodsh01,26,VEG,D,56,8,28,36,-1,20,5.4,7,1,0,1,19,9,0,143,5.6,1304,23:17,69,27,0,0,
878,Robert Thomas\thomaro01,22,STL,C,50,10,34,44,7,12,3.8,9,0,1,3,25,8,1,78,12.8,941,18:50,15,12,387,382,50.3
879,Nate Thompson\thompna01,37,PHI,C,19,1,0,1,-8,29,-0.4,1,0,0,0,0,0,0,7,14.3,221,11:39,8,29,68,67,50.4
880,Tage Thompson\thompta01,24,BUF,C,55,23,19,42,-12,17,4.6,16,6,1,0,13,6,0,183,12.6,983,17:53,19,49,305,442,40.8
881,Tyce Thompson\thompty01,22,NJD,RW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,29,14:25,0,2,1,0,100.0
882,Lassi Thomson\thomsla01,21,OTT,D,16,0,5,5,-8,2,0.3,0,0,0,0,4,1,0,18,0.0,276,17:15,9,23,0,0,
883,Joe Thornton\thornjo01,42,FLA,C,24,4,2,6,-9,6,0.0,1,3,0,1,2,0,0,19,21.1,265,11:02,7,15,71,85,45.5
884,Chris Tierney\tiernch01,27,OTT,C,51,6,9,15,-6,12,0.9,3,3,0,2,7,2,0,59,10.2,657,12:53,23,30,201,234,46.2
885,Conor Timmins\timmico01,23,ARI,D,6,0,0,0,-6,0,-0.3,0,0,0,0,0,0,0,5,0.0,106,17:45,9,7,0,0,
